month,day,year,hour,Product ID,Type,Air temp,Process temp,Rpm,Torque,Tool wear,Machine failure,unix
1,1,2015,6,L47181,L,298.2,308.7,1408,46.3,3,0,1420072200000
1,1,2015,7,L47182,L,298.1,308.5,1498,49.4,5,0,1420075800000
1,1,2015,8,L47183,L,298.2,308.6,1433,39.5,7,0,1420079400000
1,1,2015,9,L47184,L,298.2,308.7,1408,40,9,0,1420083000000
1,1,2015,10,L47186,L,298.1,308.6,1558,42.4,14,0,1420086600000
1,1,2015,11,L47187,L,298.1,308.6,1527,40.2,16,0,1420090200000
1,1,2015,12,L47194,L,298.6,309.2,2035,19.6,40,0,1420093800000
1,1,2015,13,L47195,L,298.6,309.2,1542,48.4,42,0,1420097400000
1,1,2015,14,L47201,L,298.8,309.3,1450,44.8,63,0,1420101000000
1,1,2015,15,L47203,L,299,309.4,1758,25.7,68,0,1420104600000
1,1,2015,16,L47205,L,299,309.5,1861,23.3,73,0,1420108200000
1,1,2015,17,L47206,L,299.1,309.5,1512,39,75,0,1420111800000
1,1,2015,18,L47208,L,299.1,309.4,1439,44.2,82,0,1420115400000
1,1,2015,19,L47209,L,299,309.4,1693,30.1,84,0,1420119000000
1,1,2015,20,L47211,L,299,309.4,1798,25.5,89,0,1420122600000
1,1,2015,21,L47212,L,299,309.4,1419,48.3,91,0,1420126200000
1,1,2015,22,L47213,L,298.9,309.3,1665,32.5,93,0,1420129800000
1,1,2015,23,L47217,L,298.8,309.1,1439,39.2,104,0,1420133400000
1,2,2015,0,L47219,L,298.8,309.1,1350,52.5,111,0,1420137000000
1,2,2015,1,L47220,L,298.8,309.1,1362,45.4,113,0,1420140600000
1,2,2015,2,L47221,L,298.8,309.1,1368,50.8,115,0,1420144200000
1,2,2015,3,L47225,L,298.8,309.1,1489,49.1,128,0,1420147800000
1,2,2015,4,L47227,L,298.8,309.1,1418,46.3,133,0,1420151400000
1,2,2015,5,L47230,L,298.9,309.1,2861,4.6,143,1,1420155000000
1,2,2015,6,L47231,L,298.9,309.1,1383,54.9,145,0,1420158600000
1,2,2015,7,L47233,L,298.7,309,1565,35.1,152,0,1420162200000
1,2,2015,8,L47234,L,298.7,309,1691,30.1,154,0,1420165800000
1,2,2015,9,L47235,L,298.8,309.1,1512,40.7,156,0,1420169400000
1,2,2015,10,L47236,L,298.8,309.1,1477,42.4,158,0,1420173000000
1,2,2015,11,L47237,L,298.8,309.1,1513,40.3,160,0,1420176600000
1,2,2015,12,L47239,L,298.8,309.1,1378,54.4,165,0,1420180200000
1,2,2015,13,L47240,L,298.8,309.1,1393,52.6,167,0,1420183800000
1,2,2015,14,L47242,L,298.8,309,1829,22.9,172,0,1420187400000
1,2,2015,15,L47244,L,299,309.1,1523,38.6,177,0,1420191000000
1,2,2015,16,L47245,L,299,309.1,1394,45.1,179,0,1420194600000
1,2,2015,17,L47248,L,298.8,308.9,1527,32.4,189,0,1420198200000
1,2,2015,18,L47249,L,298.9,309,1410,65.7,191,1,1420201800000
1,2,2015,19,L47251,L,298.9,309.1,1452,45.5,196,0,1420205400000
1,2,2015,20,L47252,L,298.9,309.1,1369,44.4,198,0,1420209000000
1,2,2015,21,L47253,L,299,309.1,1592,35,200,0,1420212600000
1,2,2015,22,L47254,L,298.9,309,1601,32.3,202,0,1420216200000
1,2,2015,23,L47255,L,298.8,308.9,1379,46.7,204,0,1420219800000
1,3,2015,0,L47256,L,298.8,308.9,1461,47.9,206,0,1420223400000
1,3,2015,1,L47257,L,298.8,308.9,1455,41.3,208,1,1420227000000
1,3,2015,2,L47258,L,298.8,308.9,1398,51.5,0,0,1420230600000
1,3,2015,3,L47259,L,298.8,308.9,1402,37.9,2,0,1420234200000
1,3,2015,4,L47261,L,298.9,308.9,1450,47.5,9,0,1420237800000
1,3,2015,5,L47262,L,298.9,308.9,1453,40.8,11,0,1420241400000
1,3,2015,6,L47263,L,299,309,1469,40.1,13,0,1420245000000
1,3,2015,7,L47264,L,298.9,308.9,1422,47.6,15,0,1420248600000
1,3,2015,8,L47267,L,299,309,1544,31.8,25,0,1420252200000
1,3,2015,9,L47270,L,298.9,308.9,1753,25.8,33,0,1420255800000
1,3,2015,10,L47271,L,298.9,308.9,1830,24.9,35,0,1420259400000
1,3,2015,11,L47273,L,299.1,309,1450,43,40,0,1420263000000
1,3,2015,12,L47274,L,299,308.9,1622,31.9,42,0,1420266600000
1,3,2015,13,L47278,L,298.9,308.8,1529,32.7,53,0,1420270200000
1,3,2015,14,L47279,L,298.8,308.8,1523,44.4,55,0,1420273800000
1,3,2015,15,L47280,L,298.8,308.9,1852,25,57,0,1420277400000
1,3,2015,16,L47281,L,298.8,308.8,1991,20.7,59,0,1420281000000
1,3,2015,17,L47282,L,298.8,308.8,1555,40.6,61,0,1420284600000
1,3,2015,18,L47284,L,298.8,308.7,1450,43.4,66,0,1420288200000
1,3,2015,19,L47285,L,298.8,308.7,1591,31.1,68,0,1420291800000
1,3,2015,20,L47286,L,298.8,308.7,1445,48.5,70,0,1420295400000
1,3,2015,21,L47289,L,298.9,308.7,1572,34.1,80,0,1420299000000
1,3,2015,22,L47290,L,298.8,308.6,1872,22.5,82,0,1420302600000
1,3,2015,23,L47294,L,298.8,308.6,1680,29.4,95,0,1420306200000
1,4,2015,0,L47295,L,298.8,308.6,1431,45.7,97,0,1420309800000
1,4,2015,1,L47296,L,298.9,308.7,1564,34.1,99,0,1420313400000
1,4,2015,2,L47297,L,298.8,308.6,1599,33,101,0,1420317000000
1,4,2015,3,L47299,L,298.7,308.5,1467,40.7,106,0,1420320600000
1,4,2015,4,L47300,L,298.9,308.7,1433,44.7,108,0,1420324200000
1,4,2015,5,L47301,L,298.9,308.7,1558,41.2,110,0,1420327800000
1,4,2015,6,L47302,L,299,308.8,1310,50.7,112,0,1420331400000
1,4,2015,7,L47303,L,298.9,308.7,1546,43.4,114,0,1420335000000
1,4,2015,8,L47304,L,298.9,308.7,1727,29.4,116,0,1420338600000
1,4,2015,9,L47305,L,298.9,308.6,1560,32.2,118,0,1420342200000
1,4,2015,10,L47306,L,299,308.6,1329,60.5,120,0,1420345800000
1,4,2015,11,L47307,L,298.9,308.6,1413,46.5,122,0,1420349400000
1,4,2015,12,L47308,L,299,308.6,1587,38.6,124,0,1420353000000
1,4,2015,13,L47309,L,298.9,308.5,1559,34.3,126,0,1420356600000
1,4,2015,14,L47310,L,298.8,308.4,1473,41.1,128,0,1420360200000
1,4,2015,15,L47311,L,298.8,308.4,1737,27.7,130,0,1420363800000
1,4,2015,16,L47314,L,298.8,308.4,1369,53,138,0,1420367400000
1,4,2015,17,L47317,L,298.7,308.6,1297,55.3,148,0,1420371000000
1,4,2015,18,L47319,L,298.8,308.6,1268,55.8,155,0,1420374600000
1,4,2015,19,L47320,L,298.8,308.6,1511,36.1,157,0,1420378200000
1,4,2015,20,L47321,L,298.7,308.5,1544,35.2,159,0,1420381800000
1,4,2015,21,L47325,L,298.5,308.4,1513,33.6,172,0,1420385400000
1,4,2015,22,L47327,L,298.4,308.4,1515,40.1,179,0,1420389000000
1,4,2015,23,L47329,L,298.4,308.3,1473,39.9,184,0,1420392600000
1,5,2015,0,L47330,L,298.4,308.3,1422,42.7,186,0,1420396200000
1,5,2015,1,L47333,L,298.4,308.2,1850,27,194,0,1420399800000
1,5,2015,2,L47334,L,298.4,308.2,1528,36.2,196,0,1420403400000
1,5,2015,3,L47339,L,298.4,308.2,1471,47,214,0,1420407000000
1,5,2015,4,L47340,L,298.4,308.2,1282,60.7,216,1,1420410600000
1,5,2015,5,L47341,L,298.3,308.1,1412,52.3,218,1,1420414200000
1,5,2015,6,L47342,L,298.3,308.1,1586,35.5,0,0,1420417800000
1,5,2015,7,L47345,L,298.5,308.4,1733,26,8,0,1420421400000
1,5,2015,8,L47348,L,298.4,308.3,1433,62.3,20,1,1420425000000
1,5,2015,9,L47349,L,298.4,308.3,1318,59.1,22,0,1420428600000
1,5,2015,10,L47351,L,298.2,308.1,1462,50.8,27,0,1420432200000
1,5,2015,11,L47354,L,298.2,308.1,1306,58.3,35,0,1420435800000
1,5,2015,12,L47355,L,298.2,308.1,1382,43.5,37,0,1420439400000
1,5,2015,13,L47356,L,298.2,308.1,1618,34.7,39,0,1420443000000
1,5,2015,14,L47357,L,298.2,308.2,1988,21.4,41,0,1420446600000
1,5,2015,15,L47358,L,298.2,308.2,1436,50.2,43,0,1420450200000
1,5,2015,16,L47359,L,298.2,308.3,1304,49.8,45,0,1420453800000
1,5,2015,17,L47360,L,298.2,308.3,1475,49.9,47,0,1420457400000
1,5,2015,18,L47363,L,298.1,308.2,1485,40.7,57,0,1420461000000
1,5,2015,19,L47364,L,298.2,308.2,1667,30.6,59,0,1420464600000
1,5,2015,20,L47365,L,298.2,308.2,1446,38.2,61,0,1420468200000
1,5,2015,21,L47366,L,298.1,308.3,1301,56,63,0,1420471800000
1,5,2015,22,L47367,L,298.2,308.4,1379,43.1,65,0,1420475400000
1,5,2015,23,L47368,L,298.3,308.5,1606,33.6,67,0,1420479000000
1,6,2015,0,L47370,L,298.2,308.4,1477,49.9,72,0,1420482600000
1,6,2015,1,L47371,L,298.2,308.4,1666,34.6,74,0,1420486200000
1,6,2015,2,L47375,L,298.3,308.5,1453,42.9,89,0,1420489800000
1,6,2015,3,L47378,L,298.4,308.7,1588,35,99,0,1420493400000
1,6,2015,4,L47379,L,298.4,308.6,1433,47.1,101,0,1420497000000
1,6,2015,5,L47380,L,298.4,308.6,1609,35,103,0,1420500600000
